tx_err_x,tx_err_y,tx_err_px
613.8761,1.024231,613.87695
187.47595,5.5535583,187.5582
292.5327,8.911102,292.6684
14.689636,6.683777,16.13872
368.1516,9.422668,368.27216
222.32782,2.7992554,222.34544
62.85736,5.118469,63.065414
87.457275,9.708374,87.99448
451.12897,7.9604797,451.1992
209.02094,6.362732,209.11775
191.18811,3.5256653,191.22061
31.451172,1.7426758,31.499414
440.47504,9.023346,440.56747
292.7785,13.542694,293.09155
45.06079,18.627441,48.75917
154.52948,18.973083,155.68988
533.06134,20.000458,533.43646
677.8348,2.0127563,677.83777
228.23547,15.854675,228.78549
28.264832,11.492462,30.511923
870.5061,19.226288,870.7184
625.9181,0.8930664,625.91876
160.15991,0.10620117,160.15994
433.54224,4.182495,433.5624
194.37897,3.9934998,194.42
208.28235,5.6681824,208.35945
779.9743,2.1249084,779.9772
4.317444,9.919006,10.817903
689.12805,5.6760254,689.1514
344.9392,6.6049805,345.00244
623.71954,5.9589233,623.748
287.56012,2.9903564,287.57568
0.25115967,1.3099976,1.333857
603.6539,11.48822,603.7632
50.61975,1.0478516,50.630592
38.630554,7.2546387,39.305843
22.736511,14.6185,27.030527
160.54175,8.254608,160.75381
311.6565,0.43103027,311.6568
144.72882,11.547852,145.1888
23.843445,1.0980835,23.868717
27.444458,7.3361206,28.408045
125.68524,0.6174927,125.68676
327.37256,1.7027588,327.37698
607.38153,0.85717773,607.38214
384.94055,2.0453186,384.94598
37.805298,7.9313354,38.628315
155.24884,3.930481,155.29858
325.28253,3.694397,325.3035
204.17065,13.2378845,204.59937
124.35315,8.644592,124.65326
64.76337,21.056671,68.10049
15.854004,21.238403,26.503193
297.01666,10.094391,297.18814
82.34509,0.24145508,82.34544
227.35846,6.012268,227.43794
61.452576,17.867767,63.997467
685.69946,18.698944,685.95435
206.73059,2.0205688,206.74046
473.75275,2.4730225,473.75922
119.674194,9.068115,120.017265
532.5481,7.1346436,532.5959
178.71448,1.234436,178.71873
255.80188,4.958008,255.84993
222.72314,2.492096,222.73709
429.74384,3.2260132,429.75595
377.60406,10.013092,377.73682
483.80286,6.1693726,483.8422
207.83813,3.2817993,207.86404
372.5359,4.0324097,372.5577
71.22577,19.489807,73.84418
71.09155,8.769379,71.63038
387.0515,20.820251,387.61108
47.26837,7.4089355,47.845493
217.8617,9.135315,218.05315
222.6026,12.207031,222.93706
34.5235,5.6899414,34.989246
567.14264,0.647583,567.143
516.1875,9.982147,516.284
13.880066,10.609833,17.470684
863.12506,4.2628784,863.1356
102.39484,20.716522,104.4695
50.09973,11.340332,51.36717
45.700684,1.2368774,45.71742
20.05951,8.475311,21.776474
42.353516,1.5043335,42.380222
623.6769,0.7542114,623.6773
139.11646,0.48480225,139.1173
229.80267,0.48605347,229.80319
228.92084,7.606598,229.04718
23.78949,1.9784241,23.871614
21.706726,2.496521,21.849817
37.444946,0.7552185,37.45256
24.142029,59.06952,63.812584
26.657593,26.17685,37.36114
335.5155,5.573059,335.5618
629.55304,8.902039,629.61597
319.7403,3.4673767,319.7591
741.40674,7.289673,741.44257
361.86584,0.8199158,361.86676
5.159668,1.0065002,5.256921
882.239,3.9360046,882.2478
4.0410156,14.193176,14.757237
138.0232,12.768646,138.61256
88.64563,11.778809,89.42476
30.284119,23.845367,38.545162
450.95392,11.350281,451.09674
610.5687,25.226654,611.0896
256.8839,13.499054,257.23834
136.73883,1.6005859,136.7482
259.50763,12.088989,259.78906
608.4409,2.3153381,608.4453
327.5572,1.8563538,327.56244
286.5124,9.000305,286.65372
35.652954,9.239685,36.83076
487.3281,3.976532,487.34433
47.385315,3.463684,47.511738
528.3954,5.262451,528.4216
535.1775,1.8229065,535.1806
682.75836,10.958649,682.8463
579.6076,9.733002,579.68933
0.5890503,12.854065,12.867555
120.719604,13.180756,121.43704
527.0959,5.1300964,527.12085
346.1563,0.38504028,346.15652
187.89832,20.7807,189.04395
609.58276,5.485382,609.6075
29.673645,1.5830994,29.715845
98.56787,11.511322,99.23777
945.9752,9.068268,946.0187
43.99872,1.8806763,44.038895
780.6059,3.0217896,780.61176
47.515198,6.2358093,47.922638
205.6831,5.3809814,205.75348
29.597168,17.960144,34.620213
3.602478,1.7434387,4.0021777
